YEAR DAY  HR    RAD_AU      HGI_LAT   HGI_LON
2023  10   7    0.9831    -4.015    33.464
2023  10   8    0.9831    -4.020    33.507
2023  10   9    0.9831    -4.024    33.549
2023  10  10    0.9831    -4.029    33.591
2023  10  11    0.9831    -4.033    33.634
2023  10  12    0.9831    -4.038    33.676
2023  10  13    0.9831    -4.042    33.718
2023  10  14    0.9831    -4.046    33.761
2023  10  15    0.9831    -4.051    33.803
2023  10  16    0.9831    -4.055    33.845
2023  10  17    0.9831    -4.060    33.888
2023  10  18    0.9831    -4.064    33.930
2023  10  19    0.9831    -4.069    33.972
2023  10  20    0.9831    -4.073    34.015
2023  10  21    0.9831    -4.077    34.057
2023  10  22    0.9831    -4.082    34.099
2023  10  23    0.9831    -4.086    34.142
2023  11   0    0.9831    -4.091    34.184
2023  11   1    0.9831    -4.095    34.226
2023  11   2    0.9831    -4.100    34.269
2023  11   3    0.9831    -4.104    34.311
2023  11   4    0.9831    -4.108    34.353
2023  11   5    0.9831    -4.113    34.396
2023  11   6    0.9831    -4.117    34.438
2023  11   7    0.9831    -4.122    34.480
2023  11   8    0.9831    -4.126    34.523
2023  11   9    0.9832    -4.130    34.565
2023  11  10    0.9832    -4.135    34.607
2023  11  11    0.9832    -4.139    34.650
2023  11  12    0.9832    -4.144    34.692
2023  11  13    0.9832    -4.148    34.734
2023  11  14    0.9832    -4.152    34.777
2023  11  15    0.9832    -4.157    34.819
2023  11  16    0.9832    -4.161    34.861
2023  11  17    0.9832    -4.166    34.904
2023  11  18    0.9832    -4.170    34.946
2023  11  19    0.9832    -4.174    34.988
2023  11  20    0.9832    -4.179    35.031
2023  11  21    0.9832    -4.183    35.073
2023  11  22    0.9832    -4.187    35.115
2023  11  23    0.9832    -4.192    35.158
2023  12   0    0.9832    -4.196    35.200
2023  12   1    0.9832    -4.201    35.242
2023  12   2    0.9832    -4.205    35.285
2023  12   3    0.9832    -4.209    35.327
2023  12   4    0.9832    -4.214    35.369
2023  12   5    0.9832    -4.218    35.412
2023  12   6    0.9832    -4.222    35.454
2023  12   7    0.9832    -4.227    35.496
2023  12   8    0.9832    -4.231    35.539
2023  12   9    0.9832    -4.235    35.581
2023  12  10    0.9832    -4.240    35.623
2023  12  11    0.9832    -4.244    35.666
2023  12  12    0.9832    -4.248    35.708
2023  12  13    0.9832    -4.253    35.750
2023  12  14    0.9832    -4.257    35.793
2023  12  15    0.9832    -4.261    35.835
2023  12  16    0.9832    -4.266    35.877
2023  12  17    0.9832    -4.270    35.920
2023  12  18    0.9832    -4.274    35.962
2023  12  19    0.9832    -4.279    36.005
2023  12  20    0.9832    -4.283    36.047
2023  12  21    0.9832    -4.287    36.089
2023  12  22    0.9832    -4.292    36.132
2023  12  23    0.9832    -4.296    36.174
2023  13   0    0.9832    -4.300    36.216
2023  13   1    0.9832    -4.305    36.259
2023  13   2    0.9832    -4.309    36.301
2023  13   3    0.9832    -4.313    36.343
2023  13   4    0.9832    -4.318    36.386
2023  13   5    0.9832    -4.322    36.428
2023  13   6    0.9832    -4.326    36.470
2023  13   7    0.9832    -4.330    36.513
2023  13   8    0.9833    -4.335    36.555
2023  13   9    0.9833    -4.339    36.597
2023  13  10    0.9833    -4.343    36.640
2023  13  11    0.9833    -4.348    36.682
2023  13  12    0.9833    -4.352    36.725
2023  13  13    0.9833    -4.356    36.767
2023  13  14    0.9833    -4.360    36.809
2023  13  15    0.9833    -4.365    36.852
2023  13  16    0.9833    -4.369    36.894
2023  13  17    0.9833    -4.373    36.936
2023  13  18    0.9833    -4.378    36.979
2023  13  19    0.9833    -4.382    37.021
2023  13  20    0.9833    -4.386    37.063
2023  13  21    0.9833    -4.390    37.106
